Iteration,Approximation
1,1.5
2,1.25
3,1.125
4,1.0625
5,1.09375
6,1.109375
7,1.1171875
8,1.12109375
9,1.119140625
10,1.1181640625
11,1.11865234375
12,1.118408203125
13,1.1182861328125
14,1.11834716796875
15,1.118316650390625
16,1.1183319091796875
17,1.1183242797851562
18,1.1183280944824219
19,1.1183261871337891
20,1.1183252334594727
21,1.1183257102966309
22,1.1183254718780518
23,1.1183255910873413
24,1.1183256506919861
25,1.1183256208896637
26,1.1183256059885025
27,1.1183255985379219
28,1.1183255948126316
29,1.1183255929499865
30,1.1183255920186639
31,1.1183255915530026
32,1.1183255917858332
33,1.1183255916694179
34,1.1183255916112103
35,1.1183255915821064
36,1.1183255915966583
37,1.1183255915893824
38,1.1183255915930204
39,1.1183255915912014
40,1.1183255915902919
41,1.1183255915898371
42,1.1183255915896098
43,1.1183255915897234
44,1.1183255915896666
45,1.1183255915896382
46,1.118325591589624
47,1.1183255915896311
48,1.1183255915896275
49,1.1183255915896293
