Iteration,AbsoluteError
1,0.14549426703398094
2,0.22950573296601906
3,0.04200573296601906
4,0.05174426703398094
5,0.0048692670339809396
6,0.01856823296601906
7,0.0068494829660190604
8,0.00099010796601906037
9,0.0019395795339809396
10,0.00047473578398093963
11,0.00025768609101906037
12,0.00010852484648093963
13,7.458062226906037e-05
14,1.697211210593963e-05
15,2.880425508156037e-05
16,5.9160714878103704e-06
17,5.5280203090646296e-06
18,1.940255893728704e-07
19,2.6669973598458796e-06
20,1.2364858852365046e-06
21,5.212301479318171e-07
22,1.6360227927947335e-07
23,1.5211655046698525e-08
24,7.4195312116387413e-08
25,2.9491828534844444e-08
26,7.1400867440729598e-09
27,4.0357841513127823e-09
28,1.5521512963800888e-09
29,1.2418164274663468e-09
30,1.5516743445687098e-10
31,5.4332449650473791e-10
32,1.9407853102393346e-10
33,1.9455548283531243e-11
34,6.7855943086669868e-11
35,2.4200197401569312e-11
36,2.3723245590190345e-12
37,8.5416118622561044e-12
38,3.0846436516185349e-12
39,3.5615954629975022e-13
40,1.0080825063596421e-12
41,3.2596148002994596e-13
42,1.5099033134902129e-14
43,1.5543122344752192e-13
44,7.0166095156309893e-14
45,2.7533531010703882e-14
46,6.2172489379008766e-15
47,4.4408920985006262e-15
48,8.8817841970012523e-16
48,8.8817841970012523e-16
