Iteration	AbsoluteError
1	1.4845291372705738e-02
2	1.7296953496468426e-03
3	1.9973713967469386e-04
4	2.3040746110591925e-05
5	2.6575542562135013e-06
6	3.0652205618153516e-07
7	3.5354168259615903e-08
8	4.0777390353241572e-09
9	4.7032511218958462e-10
10	5.4247051295419624e-11
11	6.2567728775775322e-12
12	7.2142292140142672e-13
13	8.3044682241961709e-14
14	9.5479180117763462e-15
15	8.8817841970012523e-16
16	0.0000000000000000e+00
17	0.0000000000000000e+00
