Iteration	AbsoluteError
1	1.1425501172235819e-01
2	3.8574498827764181e-01
3	1.3574498827764181e-01
4	1.0744988277641809e-02
5	5.1755011722358191e-02
6	2.0505011722358191e-02
7	4.8800117223581907e-03
8	2.9324882776418093e-03
9	9.7376172235819070e-04
10	9.7936327764180930e-04
11	2.8007776418093044e-06
12	4.8548047235819070e-04
13	2.4133984735819070e-04
14	1.1926953485819070e-04
15	5.8234378608190696e-05
16	2.7716800483190696e-05
17	1.2458011420690696e-05
18	4.8286168894406956e-06
19	1.0139196238156956e-06
20	8.9342900899680444e-07
21	6.0245307409445559e-08
22	4.1659185079367944e-07
23	1.7817327169211694e-07
24	5.8963982141335691e-08
25	6.4066263405493373e-10
26	2.9161659753640379e-08
27	1.4260498559792723e-08
28	6.8099179628688944e-09
29	3.0846276644069803e-09
30	1.2219825151760233e-09
31	2.9065994056054478e-10
32	1.7500134674719448e-10
33	5.7829296906675154e-11
34	5.8586024920259661e-11
35	3.7836400679225335e-13
36	2.8725466449941450e-11
37	1.4173551221574598e-11
38	6.8975936073911726e-12
39	3.2596148002994596e-12
40	1.4406253967536031e-12
41	5.3113069498067489e-13
42	7.6383344094210770e-14
43	1.5099033134902129e-13
44	3.7303493627405260e-14
45	1.9539925233402755e-14
46	8.8817841970012523e-15
47	5.3290705182007514e-15
48	1.7763568394002505e-15
49	1.7763568394002505e-15
50	0.0000000000000000e+00
51	1.7763568394002505e-15
52	1.7763568394002505e-15
53	1.7763568394002505e-15
54	1.7763568394002505e-15
55	1.7763568394002505e-15
56	1.7763568394002505e-15
57	1.7763568394002505e-15
58	1.7763568394002505e-15
59	1.7763568394002505e-15
60	1.7763568394002505e-15
61	1.7763568394002505e-15
62	1.7763568394002505e-15
63	1.7763568394002505e-15
64	1.7763568394002505e-15
65	1.7763568394002505e-15
66	1.7763568394002505e-15
67	1.7763568394002505e-15
68	1.7763568394002505e-15
69	1.7763568394002505e-15
70	1.7763568394002505e-15
71	1.7763568394002505e-15
72	1.7763568394002505e-15
73	1.7763568394002505e-15
74	1.7763568394002505e-15
75	1.7763568394002505e-15
76	1.7763568394002505e-15
77	1.7763568394002505e-15
78	1.7763568394002505e-15
79	1.7763568394002505e-15
80	1.7763568394002505e-15
81	1.7763568394002505e-15
82	1.7763568394002505e-15
83	1.7763568394002505e-15
84	1.7763568394002505e-15
85	1.7763568394002505e-15
86	1.7763568394002505e-15
87	1.7763568394002505e-15
88	1.7763568394002505e-15
89	1.7763568394002505e-15
90	1.7763568394002505e-15
91	1.7763568394002505e-15
92	1.7763568394002505e-15
93	1.7763568394002505e-15
94	1.7763568394002505e-15
95	1.7763568394002505e-15
96	1.7763568394002505e-15
97	1.7763568394002505e-15
98	1.7763568394002505e-15
99	1.7763568394002505e-15
100	1.7763568394002505e-15
