Iteration,AbsoluteError
1,0.043409457909064031
2,0.018409457909064564
3,0.0059094579090643862
4,0.00034054209093614674
5,0.0027844579090645638
6,0.0012219579090642085
7,0.0004407079090640309
8,5.0082909063497993e-05
9,0.00014522959093632437
10,4.7573340936857278e-05
11,1.2547840633203577e-06
12,2.3159278437212549e-05
13,1.0952247186502007e-05
14,4.8487315611467352e-06
15,1.7969737493572779e-06
16,2.7109484346254931e-07
17,4.9184461037299343e-07
18,1.1037488345522206e-07
19,8.0359980003663622e-08
20,1.5007452169868429e-08
21,3.2676264360986806e-08
22,8.8344060955591885e-09
23,3.0865230371546204e-09
24,2.8739419732914939e-09
25,1.0629097602077309e-10
26,1.3838254986353604e-09
27,6.3876726130729367e-10
28,2.6623769855405044e-10
29,7.9973361266638676e-11
30,1.3158363287857355e-11
31,3.340705490018081e-11
32,1.0124345806161728e-11
33,1.5170087408478139e-12
34,4.3032244434471068e-12
35,1.3935519405094965e-12
36,6.1284310959308641e-14
37,6.6613381477509392e-13
38,3.028688411177427e-13
39,1.2079226507921703e-13
40,2.9309887850104133e-14
41,1.5987211554602254e-14
42,6.2172489379008766e-15
43,4.4408920985006262e-15
44,8.8817841970012523e-16
45,1.7763568394002505e-15
46,8.8817841970012523e-16
47,0
47,0
