PerturbationPercent,RelativeError
1,0.00019612851330739559
1,8.2350741701523871e-05
1,0.00013729726788363586
1,0.00014202701105382604
1,0.00035589778770149923
1,0.0003271915258092695
1,0.00014645493667696808
1,0.00083065751890979951
1,0.00074177130162801045
1,0.00041885307804874689
1,0.00082875568945641235
1,0.00051068965133763036
1,0.00039256833198645459
1,0.00060071656949036583
1,0.00070815691249718365
1,0.0005585514770971681
1,0.00033951116521117495
1,8.0855202557886003e-05
1,0.00034468394455513943
1,0.00070644511450395145
2,0.00075898855837069673
2,0.0006828686278837515
2,8.43613219809714e-05
2,0.00076500807739952339
2,0.0012868334819886476
2,0.0003838454152527816
2,0.00041748592916324688
2,0.00018362792433728454
2,0.00057335996776887476
2,0.00074855095279547984
2,0.00032362423404912324
2,1.4792598572285589e-05
2,0.0023907798263690708
2,0.0001140524116914613
2,0.0024614783355480234
2,0.00016706224510867879
2,0.00019641889784924446
2,0.0012448434480449608
2,0.00018434704837874956
2,0.0002500093144292528
3,0.0016170903453978115
3,0.0022068394804254962
3,0.00044552997779659896
3,0.0032819698111855675
3,0.0019783147147211626
3,0.0032367796370875866
3,0.0019735262286600568
3,0.0018282129089560537
3,0.0014065262278359966
3,0.00026514199334004427
3,0.0046379254031183939
3,0.0035174783439392288
3,0.00056154439186085819
3,0.0014221858135532854
3,0.0027326678514032572
3,0.001658548678964374
3,0.00039864589621519937
3,0.00064192287727118122
3,0.00037130908092982589
3,0.0034848525674920079
4,0.00033618001645113364
4,0.0016137816144523402
4,0.00096044905909474629
4,0.00073515328953066691
4,0.003231573174819783
4,0.00254124908454999
4,0.00085659095956203504
4,0.0051492481408626683
4,0.0011673606504514298
4,0.0015412152251947594
4,0.0031986610713925384
4,0.0030193381330754412
4,0.0052920040159364764
4,0.0049829190977464894
4,0.00064655546054342538
4,0.0026372162973984032
4,0.00054419885382535023
4,0.005037052353993903
4,0.00081475445700716551
4,0.0026593780381058848
5,0.0041848062635869814
5,0.0012240057603038997
5,0.0039019010084861555
5,0.0044678688612120043
5,0.0018062191523189408
5,0.0064906854807247885
5,0.0020182112938687863
5,0.0011458160548079531
5,0.00051041431872648167
5,0.0017781992653409604
5,0.0066320884953324768
5,0.0012102546880340794
5,0.0040530574770956691
5,0.0022640472168330475
5,0.0057365212754192461
5,0.0054267183069287859
5,0.0018415940839832594
5,0.0019949453202656479
5,0.0041185062517781305
5,0.00011482984716519225
