TargetEps,ActualError_f1,ActualError_f2
1.0000000000000001e-15,0.013603554910273319,0.19921048625165305
1e-14,0.013603554910273319,0.19921048625165305
1e-13,0.013603554910273319,0.19921048625165305
9.9999999999999998e-13,0.013603554910273319,0.19921048625165305
9.9999999999999994e-12,0.013603554913100391,0.19921048625165128
1e-10,0.013603554913100391,0.19921048625165128
1.0000000000000001e-09,0.013603554913100391,0.19921048625165128
1e-08,0.013603554913100391,0.19921048625165128
9.9999999999999995e-08,0.013603554913100391,0.19921048625165128
9.9999999999999995e-07,0.013603679870484164,0.19921048612957115
1.0000000000000001e-05,0.013603679870484164,0.19921048612957115
0.0001,0.013545665260438433,0.19921048612957115
0.001,0.013545665260438433,0.19920883397563927
0.01,0.019103767191574583,0.19920883397563927
0.10000000000000001,0.039873067062183187,0.19970194761318005
