TargetEps,ActualError_f1,ActualError_f2
1.0000000000000001e-15,4.3337706068236059e-07,0.00091529491580644162
1e-14,4.3337705335488863e-07,0.00091529491580999434
1e-13,4.333769574316193e-07,0.00091529491579045441
9.9999999999999998e-13,4.3337787780650672e-07,0.00091529491552577724
9.9999999999999994e-12,4.333705145853628e-07,0.00091529491806596752
1e-10,4.3327233822942901e-07,0.00091529489772845807
1.0000000000000001e-09,4.3421483164607366e-07,0.00091529462653028304
1e-08,4.2667488386882724e-07,0.000915297230019263
9.9999999999999995e-08,3.2614204958925086e-07,0.00091527640210742334
9.9999999999999995e-07,1.2912443783097416e-06,0.00091499869726163752
1.0000000000000001e-05,6.430192081685604e-06,0.00091766470738186001
0.0001,0.0001094573374078589,0.00089633880209483152
0.001,0.00087635862772428297,0.00061229120817962723
0.01,0.0070169640048600712,0.0033548242308043541
0.10000000000000001,0.026269078774849852,0.018190242490325303
