TargetEps,ActualError_f1,ActualError_f2
1.0000000000000001e-15,4.3337705935009296e-07,0.00091529491580821798
1e-14,4.3337706823187716e-07,0.00091529491580644162
1e-13,4.3337703981016773e-07,0.0009152949158277579
9.9999999999999998e-13,4.3337681243649229e-07,0.00091529491633934867
9.9999999999999994e-12,4.333695364788781e-07,0.00091529492270581159
1e-10,4.3334043264842137e-07,0.00091529491542985397
1.0000000000000001e-09,4.3287477136111363e-07,0.00091529520646815854
1e-08,4.3287477136111363e-07,0.00091530172572618085
9.9999999999999995e-08,4.3287477136111363e-07,0.00091529427514558392
9.9999999999999995e-07,1.0289212191150199e-06,0.00091523467050080853
1.0000000000000001e-05,8.5078219449474801e-06,0.00091046629891877728
0.0001,8.304491243005252e-05,0.00085706053720002728
0.001,0.00081546678743005252,0.00091809569345002728
0.01,0.0066748417874300525,0.0038477831934500273
0.10000000000000001,0.0066748417874300525,0.050839716806549973
