Tolerance,IterationsGoodSep,IterationsBadSep
1.000000000000000e-02,2,2
1.000000000000000e-03,2,2
1.000000000000000e-04,2,2
1.000000000000000e-05,2,2
1.000000000000000e-06,2,2
1.000000000000000e-07,2,2
1.000000000000000e-08,2,2
1.000000000000000e-09,2,2
1.000000000000000e-10,2,2
1.000000000000000e-11,2,2
1.000000000000000e-12,2,2
1.000000000000000e-13,2,2
1.000000000000000e-14,2,2
