TargetEpsilon FinalAccuracy(InfNorm)
1.0000000000e-02 inf
1.0000000000e-03 inf
1.0000000000e-04 inf
1.0000000000e-05 inf
1.0000000000e-06 inf
1.0000000000e-07 inf
1.0000000000e-08 inf
1.0000000000e-09 inf
1.0000000000e-10 inf
1.0000000000e-11 inf
1.0000000000e-12 inf
1.0000000000e-13 inf
1.0000000000e-14 inf
1.0000000000e-15 inf
