TargetEpsilon Iterations
1.0000000000e-02 55010
1.0000000000e-03 55010
1.0000000000e-04 55010
1.0000000000e-05 55010
1.0000000000e-06 55010
1.0000000000e-07 55010
1.0000000000e-08 55010
1.0000000000e-09 55010
1.0000000000e-10 55010
1.0000000000e-11 55010
1.0000000000e-12 55010
1.0000000000e-13 55010
1.0000000000e-14 55010
1.0000000000e-15 55010
